word,freq,distinct,count
norie,0.3979999999999999,5,19460.0
irone,0.3979999999999999,5,0.0
notes,0.397,5,79958318.0
tones,0.397,5,13373535.0
onset,0.397,5,3858839.0
seton,0.397,5,1136773.0
steno,0.397,5,201103.0
stone,0.39699999999999996,5,42494931.0
tenso,0.39699999999999996,5,0.0
acies,0.3969999999999999,5,0.0
saice,0.39699999999999985,5,0.0
ariel,0.3959999999999999,5,2731662.0
tales,0.395,5,11222332.0
steal,0.395,5,6257493.0
tesla,0.395,5,1134572.0
stela,0.395,5,52675.0
setal,0.395,5,0.0
taels,0.395,5,0.0
teals,0.395,5,0.0
least,0.39499999999999996,5,111229798.0
slate,0.39499999999999996,5,3813904.0
stale,0.39499999999999996,5,1065657.0
astel,0.39499999999999996,5,0.0
salet,0.39499999999999996,5,0.0
ideas,0.3949999999999999,5,67309657.0
alien,0.3949999999999999,5,99910490554.0
aides,0.3949999999999999,5,1614522.0
sadie,0.3949999999999999,5,873023.0
linea,0.3949999999999999,5,623134.0
laine,0.3949999999999999,5,437110.0
aline,0.3949999999999999,5,267309.0
elian,0.3949999999999999,5,159178.0
liane,0.3949999999999999,5,155704.0
elain,0.3949999999999999,5,17472.0
anile,0.3949999999999999,5,14401.0
aside,0.39499999999999985,5,11768649.0
aeron,0.394,5,155041.0
rains,0.3919999999999999,5,2183544.0
cries,0.3919999999999999,5,1878107.0
sarin,0.3919999999999999,5,270347.0
rices,0.3919999999999999,5,94158.0
cires,0.3919999999999999,5,38841.0
airns,0.3919999999999999,5,0.0
naris,0.3919999999999999,5,0.0
ranis,0.3919999999999999,5,0.0
seric,0.3919999999999999,5,0.0
sicer,0.3919999999999999,5,0.0
tenio,0.3919999999999999,5,0.0
cines,0.3909999999999999,5,31971.0
senci,0.3909999999999999,5,0.0
since,0.39099999999999985,5,214302926.0
rides,0.3899999999999999,5,6461201.0
liner,0.3899999999999999,5,4486145.0
resid,0.3899999999999999,5,1318706.0
dries,0.3899999999999999,5,894704.0
sider,0.3899999999999999,5,543665.0
telia,0.3899999999999999,5,233234.0
alite,0.3899999999999999,5,20736.0
aliet,0.3899999999999999,5,0.0
laeti,0.3899999999999999,5,0.0
sired,0.38999999999999985,5,220280.0
erato,0.389,5,116636.0
aloes,0.389,5,66464.0
solea,0.389,5,33523.0
orate,0.389,5,25080.0
alose,0.389,5,0.0
oater,0.389,5,0.0
osela,0.389,5,0.0
slent,0.389,5,0.0
denis,0.3889999999999999,5,3155542.0
dines,0.3889999999999999,5,114059.0
nides,0.3889999999999999,5,0.0
snide,0.38899999999999985,5,238032.0
acres,0.388,5,14208905.0
races,0.388,5,9715279.0
cares,0.388,5,4757269.0
scare,0.388,5,2972708.0
cesar,0.388,5,1092865.0
oaten,0.388,5,192579.0
atone,0.388,5,152901.0
carse,0.388,5,45840.0
serac,0.388,5,43796.0
arces,0.388,5,0.0
caser,0.388,5,0.0
ceras,0.388,5,0.0
escar,0.388,5,0.0
scrae,0.388,5,0.0
sacre,0.38799999999999996,5,175733.0
canes,0.387,5,830262.0
scena,0.387,5,91089.0
acnes,0.387,5,44507.0
tarsi,0.38699999999999996,5,18846.0
geisa,0.38699999999999996,5,0.0
stair,0.3869999999999999,5,2012524.0
aegis,0.3869999999999999,5,1349788.0
sitar,0.3869999999999999,5,255993.0
trias,0.3869999999999999,5,88764.0
astir,0.3869999999999999,5,51145.0
stria,0.3869999999999999,5,40045.0
arist,0.3869999999999999,5,23428.0
airts,0.3869999999999999,5,0.0
tisar,0.3869999999999999,5,0.0
learn,0.386,5,179428286.0
reads,0.386,5,13174104.0
renal,0.386,5,4494106.0
dares,0.386,5,526302.0
dears,0.386,5,217282.0
neral,0.386,5,15869.0
rased,0.38599999999999995,5,0.0
saint,0.3859999999999999,5,38929141.0
satin,0.3859999999999999,5,6620674.0
stain,0.3859999999999999,5,3512824.0
cites,0.3859999999999999,5,3151464.0
tains,0.3859999999999999,5,158156.0
antis,0.3859999999999999,5,61179.0
sanit,0.3859999999999999,5,43358.0
cesti,0.3859999999999999,5,13726.0
sedan,0.385,5,4769270.0
deans,0.385,5,1202452.0
andes,0.385,5,1076878.0
danes,0.385,5,809689.0
snead,0.38499999999999995,5,175337.0
sieur,0.38499999999999995,5,61710.0
saned,0.38499999999999995,5,0.0
liter,0.3849999999999999,5,2768775.0
litre,0.3849999999999999,5,2195204.0
tiler,0.3849999999999999,5,59950.0
relit,0.3849999999999999,5,0.0
sepia,0.38499999999999984,5,741438.0
paise,0.3849999999999998,5,60362.0
roles,0.384,5,13171507.0
loser,0.384,5,2529180.0
soler,0.384,5,142747.0
lores,0.384,5,41944.0
